9. Stanisław Gogacz,Klub Parlamentarny Prawo i Sprawiedliwość,8
10. Jan Maria Jackowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
11. Stanisław Karczewski,Klub Parlamentarny Prawo i Sprawiedliwość,8
12. Maciej Klima (od 2014-05-21),Klub Parlamentarny Prawo i Sprawiedliwość,8
13. Izabela Kloc (od 2014-09-24),Klub Parlamentarny Prawo i Sprawiedliwość,8
14. Maria Koc (od 2014-09-24),Klub Parlamentarny Prawo i Sprawiedliwość,8
15. Stanisław Kogut ( do 2020-10-18),Klub Parlamentarny Prawo i Sprawiedliwość,8
16. Waldemar Kraska,Klub Parlamentarny Prawo i Sprawiedliwość,8
17. Robert Mamątow,Klub Parlamentarny Prawo i Sprawiedliwość,8
18. Marek Martynowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
19. Andrzej Matusiewicz,Klub Parlamentarny Prawo i Sprawiedliwość,8
20. Andrzej Pająk,Klub Parlamentarny Prawo i Sprawiedliwość,8
21. Bohdan Paszkowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
22. Bogdan Pęk,Klub Parlamentarny Prawo i Sprawiedliwość,8
23. Zdzisław Pupa (od 2013-09-19),Klub Parlamentarny Prawo i Sprawiedliwość,8
24. Jarosław Rusiecki (od 2014-09-24),Klub Parlamentarny Prawo i Sprawiedliwość,8
25. Czesław Ryszka (od 2015-03-04),Klub Parlamentarny Prawo i Sprawiedliwość,8
26. Janina Sagatowska,Klub Parlamentarny Prawo i Sprawiedliwość,8
27. Michał Seweryński,Klub Parlamentarny Prawo i Sprawiedliwość,8
28. Wojciech Skurkiewicz,Klub Parlamentarny Prawo i Sprawiedliwość,8
29. Krzysztof Słoń,Klub Parlamentarny Prawo i Sprawiedliwość,8
30. Kazimierz Wiatr,Klub Parlamentarny Prawo i Sprawiedliwość,8
31. Grzegorz Wojciechowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
32. Alicja Zając,Klub Parlamentarny Prawo i Sprawiedliwość,8
1. Beata Gosiewska (od 2011-11-08 do 2014-05-25),Klub Parlamentarny Prawo i Sprawiedliwość,8
2. Henryk Górski (od 2011-11-08 do 2014-05-19),Klub Parlamentarny Prawo i Sprawiedliwość,8
3. Kazimierz Jaworski (od 2011-11-08 do 2011-11-30),Klub Parlamentarny Prawo i Sprawiedliwość,8
4. Władysław Ortyl (od 2011-11-08 do 2013-05-27),Klub Parlamentarny Prawo i Sprawiedliwość,8
5. Bolesław Piecha (od 2013-04-21 do 2014-05-25),Klub Parlamentarny Prawo i Sprawiedliwość,8
1. Włodzimierz Cimoszewicz,Koło Senatorów Niezależnych,8
2. Marek Borowski (od 2011-12-20),Koło Senatorów Niezależnych,8
3. Kazimierz Kutz (Przewodniczący),Koło Senatorów Niezależnych,8
4. Jarosław Obremski,Koło Senatorów Niezależnych,8
1. Andżelika Możdżanowska,Klub Parlamentarny Polskiego Stronnictwa Ludowego,8
2. Józef Zając,Klub Parlamentarny Polskiego Stronnictwa Ludowego,8
1. Kazimierz Jaworski (od 2011-12-01 do 2014-01-29),Klub Parlamentarny Solidarna Polska,8
2. Maciej Klima (od 2011-11-08 do 2014-03-26),Klub Parlamentarny Solidarna Polska,8
1. Tadeusz Kopeć (od 2015-05-23),Senatorowie niezrzeszeni,8
2. Stanisław Iwan (od 2015-07-22),Senatorowie niezrzeszeni,8
3. Helena Hatka (od 2015-08-12),Senatorowie niezrzeszeni,8
1. Marek Borowski (od 2011-11-08 do 2011-12-19),Senatorowie niezrzeszeni,8
2. Kazimierz Jaworski (od 2014-01-30 do 2014-07-24),Senatorowie niezrzeszeni,8
3. Maciej Klima (od 2014-03-27 do 2014-05-20),Senatorowie niezrzeszeni,8
1. Kazimierz Jaworski (od 2014-07-25),Klub Parlamentarny Zjednoczona Prawica,8
1. Marek Rocki (przewodniczący Klubu Senatorów PO),Klub Parlamentarny Platforma Obywatelska,8
2. Łukasz Abgarowicz (wiceprzewodniczący Klubu Senatorów PO),Klub Parlamentarny Platforma Obywatelska,8
3. Andrzej Misiołek (wiceprzewodniczący Klubu Senatorów PO),Klub Parlamentarny Platforma Obywatelska,8
4. Jadwiga Rotnicka (wiceprzewodnicząca Klubu Senatorów PO),Klub Parlamentarny Platforma Obywatelska,8
5. Anna Aksamit,Klub Parlamentarny Platforma Obywatelska,8
6. Tadeusz Arłukowicz,Klub Parlamentarny Platforma Obywatelska,8
7. Mieczysław Augustyn,Klub Parlamentarny Platforma Obywatelska,8
8. Ryszard Bonisławski,Klub Parlamentarny Platforma Obywatelska,8
9. Bogdan Borusewicz,Klub Parlamentarny Platforma Obywatelska,8
10. Barbara Borys-Damięcka,Klub Parlamentarny Platforma Obywatelska,8
11. Leszek Czarnobaj,Klub Parlamentarny Platforma Obywatelska,8
12. Alicja Chybicka,Klub Parlamentarny Platforma Obywatelska,8
13. Robert Dowhan,Klub Parlamentarny Platforma Obywatelska,8
14. Jarosław Duda,Klub Parlamentarny Platforma Obywatelska,8
15. Witold Gintowt-Dziewałtowski,Klub Parlamentarny Platforma Obywatelska,8
16. Stanisław Gorczyca,Klub Parlamentarny Platforma Obywatelska,8
17. Ryszard Górecki,Klub Parlamentarny Platforma Obywatelska,8
18. Maciej Grubski,Klub Parlamentarny Platforma Obywatelska,8
19. Piotr Gruszczyński,Klub Parlamentarny Platforma Obywatelska,8
20. Andrzej Grzyb ( do 2016-07-05),Klub Parlamentarny Platforma Obywatelska,8
21. Stanisław Hodorowicz,Klub Parlamentarny Platforma Obywatelska,8
22. Stanisław Jurcewicz,Klub Parlamentarny Platforma Obywatelska,8
23. Kazimierz Kleina,Klub Parlamentarny Platforma Obywatelska,8
24. Bogdan Klich,Klub Parlamentarny Platforma Obywatelska,8
25. Wiesław Kilian,Klub Parlamentarny Platforma Obywatelska,8
26. Ryszard Knosala,Klub Parlamentarny Platforma Obywatelska,8
27. Andrzej Kobiak,Klub Parlamentarny Platforma Obywatelska,8
28. Marek Konopka,Klub Parlamentarny Platforma Obywatelska,8
29. Jarosław Lasecki,Klub Parlamentarny Platforma Obywatelska,8
30. Jan Filip Libicki,Klub Parlamentarny Platforma Obywatelska,8
31. Zbigniew Meres,Klub Parlamentarny Platforma Obywatelska,8
32. Jan Michalski,Klub Parlamentarny Platforma Obywatelska,8
33. Rafał Muchacki,Klub Parlamentarny Platforma Obywatelska,8
34. Ireneusz Niewiarowski,Klub Parlamentarny Platforma Obywatelska,8
35. Norbert Obrycki,Klub Parlamentarny Platforma Obywatelska,8
36. Andrzej Owczarek,Klub Parlamentarny Platforma Obywatelska,8
37. Maria Pańczyk-Pozdziej,Klub Parlamentarny Platforma Obywatelska,8
38. Andrzej Person,Klub Parlamentarny Platforma Obywatelska,8
39. Leszek Piechota,Klub Parlamentarny Platforma Obywatelska,8
40. Józef Pinior,Klub Parlamentarny Platforma Obywatelska,8
41. Aleksander Pociej,Klub Parlamentarny Platforma Obywatelska,8
42. Marian Poślednik,Klub Parlamentarny Platforma Obywatelska,8
43. Sławomir Preiss,Klub Parlamentarny Platforma Obywatelska,8
44. Jan Rulewski,Klub Parlamentarny Platforma Obywatelska,8
45. Janusz Sepioł,Klub Parlamentarny Platforma Obywatelska,8
46. Witold Sitarz,Klub Parlamentarny Platforma Obywatelska,8
47. Andrzej Szewiński,Klub Parlamentarny Platforma Obywatelska,8
